PERMNO,date,PRC
25419,20040812,58.95000
25419,20040813,59.49000
25419,20040816,61.17000
25419,20040817,61.75000
25419,20040818,62.90000
25419,20040819,62.02000
25419,20040820,62.00000
25419,20040823,61.83000
25419,20040824,61.31000
25419,20040825,61.21000
25419,20040826,61.57000
25419,20040827,61.59000
25419,20040830,61.14000
25419,20040831,61.14000
25419,20040901,61.07000
25419,20040902,61.75000
25419,20040903,61.61000
25419,20040907,62.03000
25419,20040908,61.32000
25419,20040909,60.79000
25419,20040910,61.17000
25419,20040913,61.36000
25419,20040914,60.75000
25419,20040915,60.82000
25419,20040916,61.11000
25419,20040917,61.82000
25419,20040920,61.55000
25419,20040921,63.59000
25419,20040922,63.03000
25419,20040923,61.80000
25419,20040924,61.44000
25419,20040927,60.43000
25419,20040928,60.42000
25419,20040929,60.02000
25419,20040930,60.09000
25419,20041001,60.82000
25419,20041004,59.62000
25419,20041005,59.39000
25419,20041006,60.30000
25419,20041007,59.03000
25419,20041008,57.91000
25419,20041011,58.50000
25419,20041012,58.79000
25419,20041013,58.55000
25419,20041014,57.86000
25419,20041015,57.88000
25419,20041018,58.28000
25419,20041019,59.31000
25419,20041020,57.09000
25419,20041021,56.52000
25419,20041022,55.70000
25419,20041025,55.04000
25419,20041026,56.75000
25419,20041027,59.03000
25419,20041028,58.52000
25419,20041029,58.75000
25419,20041101,57.94000
25419,20041102,58.67000
25419,20041103,59.75000
25419,20041104,61.50000
25419,20041105,62.45000
25419,20041108,62.01000
25419,20041109,63.77000
25419,20041110,63.69000
25419,20041111,63.58000
25419,20041112,64.10000
25419,20041115,64.39000
25419,20041116,63.53000
25419,20041117,66.43000
25419,20041118,65.76000
25419,20041119,64.64000
25419,20041122,64.81000
25419,20041123,64.50000
25419,20041124,65.07000
25419,20041126,64.95000
25419,20041129,65.16000
25419,20041130,64.55000
25419,20041201,65.00000
25419,20041202,64.25000
25419,20041203,63.92000
25419,20041206,63.31000
25419,20041207,63.31000
25419,20041208,64.00000
25419,20041209,64.06000
25419,20041210,63.92000
25419,20041213,65.86000
25419,20041214,67.43000
25419,20041215,68.66000
25419,20041216,67.67000
25419,20041217,66.28000
25419,20041220,66.51000
25419,20041221,67.84000
25419,20041222,69.10000
25419,20041223,68.32000
25419,20041227,67.80000
25419,20041228,69.00000
25419,20041229,68.99000
25419,20041230,69.25000
25419,20041231,69.21000
25419,20050103,69.05000
25419,20050104,67.86000
25419,20050105,67.92000
25419,20050106,68.80000
25419,20050107,67.94000
25419,20050110,69.47000
25419,20050111,70.60000
25419,20050112,70.85000
25419,20050113,69.30000
25419,20050114,69.27000
25419,20050118,70.42000
25419,20050119,68.46000
25419,20050120,68.31000
25419,20050121,67.55000
25419,20050124,67.62000
25419,20050125,67.66000
25419,20050126,68.17000
25419,20050127,67.97000
25419,20050128,66.74000
25419,20050131,68.26000
25419,20050201,69.08000
25419,20050202,68.27000
25419,20050203,65.35000
25419,20050204,64.52000
25419,20050207,63.39000
25419,20050208,62.84000
25419,20050209,61.83000
25419,20050210,62.46000
25419,20050211,63.18000
25419,20050214,63.27000
25419,20050215,64.45000
25419,20050216,63.80000
25419,20050217,62.46000
25419,20050218,62.89000
25419,20050222,61.80000
25419,20050223,63.23000
25419,20050224,63.95000
25419,20050225,64.02000
25419,20050228,63.75000
25419,20050301,64.13000
25419,20050302,63.76000
25419,20050303,63.98000
25419,20050304,65.79000
25419,20050307,67.26000
25419,20050308,66.00000
25419,20050309,65.33000
25419,20050310,65.87000
25419,20050311,65.94000
25419,20050314,65.78000
25419,20050315,65.39000
25419,20050316,64.17000
25419,20050317,64.00000
25419,20050318,63.87000
25419,20050321,66.60000
25419,20050322,67.02000
25419,20050323,66.68000
25419,20050324,66.94000
25419,20050328,66.28000
25419,20050329,65.13000
25419,20050330,67.93000
25419,20050331,67.73000
25419,20050401,66.87000
25419,20050404,67.37000
25419,20050405,67.54000
25419,20050406,67.62000
25419,20050407,67.98000
25419,20050408,67.12000
25419,20050411,66.58000
25419,20050412,68.24000
25419,20050413,67.40000
25419,20050414,65.52000
25419,20050415,63.86000
25419,20050418,65.22000
25419,20050419,64.64000
25419,20050420,61.64000
25419,20050421,67.00000
25419,20050422,64.53000
25419,20050425,64.59000
25419,20050426,62.83000
25419,20050427,62.52000
25419,20050428,61.91000
25419,20050429,62.06000
25419,20050502,61.64000
25419,20050503,61.28000
25419,20050504,63.32000
25419,20050505,62.79000
25419,20050506,63.00000
25419,20050509,63.53000
25419,20050510,62.92000
25419,20050511,62.34000
25419,20050512,61.13000
25419,20050513,61.41000
25419,20050516,63.33000
25419,20050517,63.84000
25419,20050518,65.55000
25419,20050519,65.51000
25419,20050520,68.25000
25419,20050523,68.98000
25419,20050524,68.21000
25419,20050525,68.27000
25419,20050526,69.44000
25419,20050527,69.06000
25419,20050531,68.80000
25419,20050601,68.85000
25419,20050602,68.34000
25419,20050603,68.00000
25419,20050606,67.75000
25419,20050607,67.65000
25419,20050608,67.25000
25419,20050609,66.79000
25419,20050610,66.90000
25419,20050613,67.05000
25419,20050614,68.00000
25419,20050615,67.98000
25419,20050616,70.74000
25419,20050617,72.51000
25419,20050620,72.56000
25419,20050621,73.44000
25419,20050622,71.41000
25419,20050623,70.77000
25419,20050624,69.60000
25419,20050627,69.52000
25419,20050628,70.31000
25419,20050629,70.10000
25419,20050630,70.11000
25419,20050701,69.60000
25419,20050705,70.87000
25419,20050706,70.01000
25419,20050707,69.60000
25419,20050708,70.00000
25419,20050711,71.15000
25419,20050712,70.37000
25419,20050713,70.50000
25419,20050714,70.85000
25419,20050715,69.99000
25419,20050718,73.31000
25419,20050719,75.43000
25419,20050720,77.02000
25419,20050721,77.90000
25419,20050722,77.18000
25419,20050725,82.68000
25419,20050726,80.28000
25419,20050727,79.69000
25419,20050728,79.94000
25419,20050729,79.98000
25419,20050801,79.74000
25419,20050802,78.70000
