PERMNO,date,PRC
22779,20040812,14.12000
22779,20040813,14.21000
22779,20040816,14.42000
22779,20040817,15.08000
22779,20040818,15.62000
22779,20040819,15.62000
22779,20040820,16.05000
22779,20040823,16.16000
22779,20040824,16.01000
22779,20040825,16.40000
22779,20040826,16.38000
22779,20040827,16.59000
22779,20040830,16.20000
22779,20040831,16.15000
22779,20040901,16.26000
22779,20040902,16.43000
22779,20040903,16.14000
22779,20040907,15.68000
22779,20040908,15.10000
22779,20040909,16.06000
22779,20040910,16.69000
22779,20040913,16.64000
22779,20040914,16.87000
22779,20040915,16.35000
22779,20040916,16.79000
22779,20040917,17.01000
22779,20040920,17.37000
22779,20040921,17.83000
22779,20040922,17.94000
22779,20040923,17.89000
22779,20040924,17.83000
22779,20040927,17.50000
22779,20040928,17.51000
22779,20040929,17.59000
22779,20040930,18.04000
22779,20041001,18.77000
22779,20041004,19.01000
22779,20041005,18.99000
22779,20041006,18.75000
22779,20041007,18.80000
22779,20041008,18.41000
22779,20041011,18.50000
22779,20041012,18.37000
22779,20041013,18.40000
22779,20041014,18.33000
22779,20041015,18.45000
22779,20041018,18.72000
22779,20041019,18.50000
22779,20041020,17.09000
22779,20041021,16.99000
22779,20041022,16.56000
22779,20041025,16.86000
22779,20041026,17.01000
22779,20041027,17.64000
22779,20041028,17.39000
22779,20041029,17.26000
22779,20041101,17.16000
22779,20041102,17.08000
22779,20041103,16.70000
22779,20041104,17.05000
22779,20041105,17.07000
22779,20041108,16.93000
22779,20041109,16.67000
22779,20041110,17.18000
22779,20041111,17.58000
22779,20041112,18.10000
22779,20041115,18.04000
22779,20041116,17.87000
22779,20041117,18.13000
22779,20041118,18.30000
22779,20041119,17.94000
22779,20041122,18.45000
22779,20041123,18.87000
22779,20041124,19.01000
22779,20041126,19.00000
22779,20041129,19.44000
22779,20041130,19.26000
22779,20041201,19.75000
22779,20041202,19.66000
22779,20041203,17.85000
22779,20041206,18.30000
22779,20041207,18.00000
22779,20041208,17.79000
22779,20041209,17.72000
22779,20041210,16.34000
22779,20041213,17.15000
22779,20041214,16.85000
22779,20041215,16.96000
22779,20041216,17.15000
22779,20041217,17.00000
22779,20041220,16.95000
22779,20041221,17.31000
22779,20041222,17.44000
22779,20041223,17.26000
22779,20041227,17.27000
22779,20041228,17.19000
22779,20041229,17.16000
22779,20041230,17.17000
22779,20041231,17.20000
22779,20050103,17.06000
22779,20050104,16.72000
22779,20050105,16.52000
22779,20050106,16.71000
22779,20050107,16.69000
22779,20050110,16.98000
22779,20050111,16.64000
22779,20050112,16.47000
22779,20050113,16.95000
22779,20050114,17.03000
22779,20050118,17.43000
22779,20050119,16.20000
22779,20050120,15.77000
22779,20050121,15.63000
22779,20050124,15.29000
22779,20050125,15.35000
22779,20050126,15.65000
22779,20050127,15.70000
22779,20050128,15.50000
22779,20050131,15.74000
22779,20050201,15.99000
22779,20050202,16.27000
22779,20050203,15.99000
22779,20050204,16.26000
22779,20050207,16.35000
22779,20050208,16.32000
22779,20050209,15.70000
22779,20050210,15.88000
22779,20050211,15.91000
22779,20050214,16.20000
22779,20050215,16.00000
22779,20050216,15.73000
22779,20050217,15.56000
22779,20050218,15.50000
22779,20050222,15.29000
22779,20050223,15.42000
22779,20050224,15.60000
22779,20050225,15.59000
22779,20050228,15.66000
22779,20050301,15.63000
22779,20050302,15.58000
22779,20050303,15.20000
22779,20050304,15.11000
22779,20050307,15.40000
22779,20050308,15.36000
22779,20050309,15.29000
22779,20050310,15.42000
22779,20050311,15.27000
22779,20050314,15.49000
22779,20050315,15.33000
22779,20050316,15.25000
22779,20050317,15.16000
22779,20050318,15.01000
22779,20050321,14.91000
22779,20050322,14.99000
22779,20050323,14.95000
22779,20050324,14.94000
22779,20050328,14.90000
22779,20050329,14.72000
22779,20050330,14.95000
22779,20050331,14.97000
22779,20050401,14.89000
22779,20050404,14.87000
22779,20050405,15.03000
22779,20050406,14.94000
22779,20050407,15.30000
22779,20050408,15.20000
22779,20050411,15.11000
22779,20050412,15.28000
22779,20050413,15.28000
22779,20050414,15.07000
22779,20050415,14.75000
22779,20050418,14.61000
22779,20050419,14.72000
22779,20050420,14.93000
22779,20050421,15.93000
22779,20050422,15.78000
22779,20050425,15.77000
22779,20050426,15.90000
22779,20050427,15.70000
22779,20050428,15.37000
22779,20050429,15.34000
22779,20050502,15.47000
22779,20050503,15.57000
22779,20050504,15.70000
22779,20050505,15.71000
22779,20050506,15.69000
22779,20050509,15.77000
22779,20050510,15.79000
22779,20050511,15.80000
22779,20050512,15.82000
22779,20050513,16.21000
22779,20050516,16.24000
22779,20050517,16.42000
22779,20050518,16.90000
22779,20050519,17.31000
22779,20050520,17.25000
22779,20050523,17.42000
22779,20050524,17.37000
22779,20050525,17.17000
22779,20050526,17.46000
22779,20050527,17.34000
22779,20050531,17.37000
22779,20050601,17.49000
22779,20050602,17.78000
22779,20050603,17.74000
22779,20050606,17.92000
22779,20050607,18.13000
22779,20050608,18.09000
22779,20050609,18.23000
22779,20050610,18.06000
22779,20050613,18.15000
22779,20050614,18.20000
22779,20050615,18.10000
22779,20050616,18.14000
22779,20050617,18.21000
22779,20050620,18.16000
22779,20050621,18.22000
22779,20050622,18.80000
22779,20050623,18.87000
22779,20050624,18.55000
22779,20050627,18.19000
22779,20050628,18.35000
22779,20050629,18.53000
22779,20050630,18.26000
22779,20050701,18.27000
22779,20050705,18.51000
22779,20050706,18.50000
22779,20050707,18.62000
22779,20050708,18.54000
22779,20050711,18.91000
22779,20050712,19.27000
22779,20050713,19.45000
22779,20050714,19.29000
22779,20050715,19.50000
22779,20050718,19.46000
22779,20050719,19.85000
22779,20050720,19.93000
22779,20050721,19.68000
22779,20050722,20.00000
22779,20050725,20.54000
22779,20050726,20.69000
22779,20050727,20.95000
22779,20050728,21.31000
22779,20050729,21.18000
22779,20050801,21.51000
22779,20050802,21.81000
22779,20050803,22.04000
22779,20050804,22.00000
22779,20050805,21.57000
22779,20050808,21.65000
22779,20050809,21.62000
22779,20050810,21.39000
22779,20050811,21.72000
22779,20050812,21.44000
22779,20050815,21.16000
22779,20050816,20.68000
22779,20050817,20.68000
22779,20050818,20.58000
22779,20050819,20.45000
22779,20050822,20.91000
22779,20050823,21.26000
22779,20050824,20.96000
22779,20050825,21.04000
22779,20050826,21.12000
22779,20050829,21.25000
22779,20050830,21.92000
22779,20050831,21.88000
22779,20050901,22.20000
22779,20050902,22.00000
22779,20050906,22.41000
22779,20050907,22.36000
22779,20050908,22.66000
22779,20050909,22.88000
22779,20050912,22.88000
22779,20050913,23.45000
22779,20050914,23.87000
22779,20050915,23.67000
22779,20050916,23.68000
22779,20050919,23.26000
22779,20050920,22.66000
22779,20050921,22.26000
22779,20050922,22.15000
22779,20050923,22.79000
22779,20050926,22.65000
22779,20050927,22.37000
22779,20050928,22.15000
22779,20050929,22.21000
22779,20050930,22.03000
22779,20051003,22.44000
22779,20051004,22.32000
22779,20051005,22.00000
22779,20051006,21.36000
22779,20051007,21.60000
22779,20051010,20.82000
22779,20051011,20.55000
22779,20051012,19.77000
22779,20051013,19.91000
22779,20051014,20.16000
22779,20051017,19.94000
22779,20051018,20.17000
22779,20051019,21.02000
22779,20051020,20.89000
22779,20051021,20.70000
22779,20051024,20.99000
22779,20051025,20.94000
22779,20051026,21.18000
22779,20051027,20.90000
22779,20051028,21.09000
22779,20051031,22.16000
22779,20051101,22.20000
22779,20051102,23.04000
22779,20051103,23.00000
22779,20051104,23.08000
22779,20051107,23.03000
22779,20051108,23.19000
22779,20051109,23.59000
22779,20051110,23.69000
22779,20051111,23.56000
22779,20051114,22.86000
22779,20051115,22.54000
22779,20051116,22.78000
22779,20051117,23.55000
22779,20051118,23.86000
22779,20051121,23.90000
22779,20051122,24.00000
22779,20051123,24.62000
22779,20051125,24.77000
22779,20051128,24.08000
22779,20051129,24.15000
22779,20051130,24.09000
22779,20051201,24.20000
22779,20051202,23.59000
22779,20051205,23.29000
22779,20051206,23.45000
22779,20051207,23.06000
22779,20051208,23.34000
22779,20051209,23.41000
22779,20051212,23.17000
22779,20051213,22.91000
22779,20051214,22.72000
22779,20051215,22.82000
22779,20051216,22.41000
22779,20051219,22.33000
22779,20051220,22.49000
22779,20051221,22.90000
22779,20051222,23.26000
22779,20051223,23.49000
22779,20051227,22.95000
22779,20051228,22.90000
22779,20051229,22.80000
22779,20051230,22.59000
22779,20060103,23.13000
22779,20060104,23.40000
22779,20060105,23.52000
22779,20060106,24.34000
22779,20060109,24.53000
22779,20060110,23.98000
22779,20060111,23.92000
22779,20060112,23.86000
22779,20060113,24.03000
22779,20060117,23.52000
22779,20060118,23.61000
22779,20060119,24.35000
22779,20060120,22.48000
22779,20060123,22.18000
22779,20060124,22.55000
22779,20060125,22.69000
22779,20060126,22.95000
22779,20060127,22.50000
22779,20060130,22.61000
22779,20060131,22.71000
22779,20060201,22.80000
22779,20060202,21.82000
22779,20060203,21.17000
22779,20060206,20.53000
22779,20060207,21.00000
22779,20060208,21.69000
22779,20060209,21.61000
22779,20060210,21.60000
22779,20060213,21.64000
22779,20060214,22.22000
